scenario_id,defence,assurance,pollinator_service,floral_damage_pressure,relief_minus_joint_cost_ratio_K,boundary_type,lower_boundary_c_D,upper_boundary_c_D,classification_at_interval_low,classification_at_interval_high,interval_verdict
high_obstruction_high_shared_cost,0.2,0.0,0.5,0.2,-0.2566666667,always_substitutable,,,substitutable,substitutable,settled_substitutable_regardless_of_c_D
high_obstruction_high_shared_cost,0.2,0.0,0.5,0.5,-0.01666666667,always_substitutable,,,substitutable,substitutable,settled_substitutable_regardless_of_c_D
high_obstruction_high_shared_cost,0.2,0.0,0.5,0.8,0.2233333333,two_sided_window,0.2340354289,23.22066162,complementary,substitutable,unsettled_interval_spans_boundary
high_obstruction_high_shared_cost,0.2,0.0,0.8,0.2,-0.1604166667,always_substitutable,,,substitutable,substitutable,settled_substitutable_regardless_of_c_D
high_obstruction_high_shared_cost,0.2,0.0,0.8,0.5,-0.01041666667,always_substitutable,,,substitutable,substitutable,settled_substitutable_regardless_of_c_D
high_obstruction_high_shared_cost,0.2,0.0,0.8,0.8,0.1395833333,two_sided_window,0.1436517761,26.16819022,substitutable,substitutable,settled_substitutable
high_obstruction_high_shared_cost,0.2,0.5,0.2,0.2,-0.6754385965,always_substitutable,,,substitutable,substitutable,settled_substitutable_regardless_of_c_D
high_obstruction_high_shared_cost,0.2,0.5,0.2,0.5,-0.04385964912,always_substitutable,,,substitutable,substitutable,settled_substitutable_regardless_of_c_D
high_obstruction_high_shared_cost,0.2,0.5,0.2,0.8,0.5877192982,two_sided_window,0.6723037132,16.74931636,complementary,substitutable,unsettled_interval_spans_boundary
high_obstruction_high_shared_cost,0.2,0.5,0.5,0.2,-0.2701754386,always_substitutable,,,substitutable,substitutable,settled_substitutable_regardless_of_c_D
high_obstruction_high_shared_cost,0.2,0.5,0.5,0.5,-0.01754385965,always_substitutable,,,substitutable,substitutable,settled_substitutable_regardless_of_c_D
high_obstruction_high_shared_cost,0.2,0.5,0.5,0.8,0.2350877193,two_sided_window,0.2469923042,22.89317751,complementary,substitutable,unsettled_interval_spans_boundary
high_obstruction_high_shared_cost,0.2,0.5,0.8,0.2,-0.1688596491,always_substitutable,,,substitutable,substitutable,settled_substitutable_regardless_of_c_D
high_obstruction_high_shared_cost,0.2,0.5,0.8,0.5,-0.01096491228,always_substitutable,,,substitutable,substitutable,settled_substitutable_regardless_of_c_D
